Genome ID,GenBank Accession,Species,Subtype,Genome Status,Strain/Isolate,Collection Date,Isolation Country,Used in analysis?
11089.366,AY968064,Yellow fever virus,-,Complete,Angola71,-,Angola,No
11089.367,AY968065,Yellow fever virus,-,Complete,Uganda48a,-,Uganda,No
11089.489,GQ379162,Yellow fever virus,-,Complete,case #1,2007-10,Peru,No
11089.490,GQ379163,Yellow fever virus,-,Complete,case #2,2007-10,Peru,No
11089.494,JF912180,Yellow fever virus,-,Complete,BeH394880,1981,Brazil,Yes
11089.495,JF912181,Yellow fever virus,-,Complete,BeH413820,1983,Brazil,No
11089.496,JF912182,Yellow fever virus,-,Complete,BeH422973,1984,Brazil,Yes
11089.497,JF912183,Yellow fever virus,-,Complete,BeH423602,1984,Brazil,Yes
11089.498,JF912184,Yellow fever virus,-,Complete,BeH463676,1987,Brazil,Yes
11089.500,JF912186,Yellow fever virus,-,Complete,BeH526722,1994,Brazil,Yes
11089.501,JF912187,Yellow fever virus,-,Complete,BeH622205,2000,Brazil,No
11089.503,JF912188,Yellow fever virus,-,Complete,BeH622493,2000,Brazil,Yes
11089.504,JF912190,Yellow fever virus,-,Complete,BeH655417,2002,Brazil,Yes
11089.1149,JN620362,Yellow fever virus,-,Complete,Uganda 2010,2010-10,Uganda,No
11089.1118,JX898868,Yellow fever virus,-,Complete,HD117294,1995,Senegal,No
11089.576,KM388814,Yellow fever virus,-,Complete,6A,2005,Venezuela,Yes
11089.472,KU921608,Yellow fever virus,-,Complete,-,2016-03-10,China,No
11089.475,KU978763,Yellow fever virus,-,Complete,Ogbomosho,1946,Nigeria,Yes
11089.476,KU978764,Yellow fever virus,-,Complete,M 185 D 160,1941-06-06,Sudan,Yes
11089.477,KU978765,Yellow fever virus,-,Complete,Jose Cachatra,1965-08-23,Guinea-Bissau,Yes
11089.478,KX010994,Yellow fever virus,-,Complete,-,2016-03-11,China,No
11089.479,KX010995,Yellow fever virus,-,Complete,-,2016-03-17,China,No
11089.480,KX010996,Yellow fever virus,-,Complete,-,2016-03-18,China,No
11089.481,KX027336,Yellow fever virus,-,Complete,-,2016-03-19,China,No
11089.947,KX268355,Yellow fever virus,-,Complete,CNYF01R/2016,2016-03-11,-,No
11089.818,KY495641,Yellow fever virus,-,Complete,BJ01/2016,2016-03-11,China,No
11089.875,KY587416,Yellow fever virus,-,Complete,FJYF03/2016,2016-03-20,China,No
11089.952,KY873607,Yellow fever virus,-,Complete,CNFY0321/2016,2016-03-21,-,No
11089.676,MF170968,Yellow fever virus,-,Complete,3925,2017-04-13,Brazil,No
11089.689,MF170969,Yellow fever virus,-,Complete,rj1930,2017-03-18,Brazil,No
11089.677,MF170970,Yellow fever virus,-,Complete,es-2487,2017-03-21,Brazil,No
11089.679,MF170972,Yellow fever virus,-,Complete,2992,2017-03-31,Brazil,Yes
11089.680,MF170973,Yellow fever virus,-,Complete,3919,2017-04-10,Brazil,No
11089.681,MF170974,Yellow fever virus,-,Complete,2829,2017-03-29,Brazil,No
11089.682,MF170975,Yellow fever virus,-,Complete,1555,2017-03-03,Brazil,Yes
11089.683,MF170976,Yellow fever virus,-,Complete,282,2017-01-25,Brazil,No
11089.684,MF170977,Yellow fever virus,-,Complete,1122,2017-02-10,Brazil,No
11089.685,MF170978,Yellow fever virus,-,Complete,2841,2017-03-28,Brazil,No
11089.686,MF170979,Yellow fever virus,-,Complete,3472,2017-04-06,Brazil,Yes
11089.687,MF170980,Yellow fever virus,-,Complete,2563,2017-03-23,Brazil,No
11089.688,MF170981,Yellow fever virus,-,Complete,3495,2017-04-05,Brazil,No
11089.856,MF370531,Yellow fever virus,-,Complete,ESS1115-H844801,2017-02-28,Brazil,Yes
11089.857,MF370532,Yellow fever virus,-,Complete,MIG2482-H843297,2017-01-10,Brazil,Yes
11089.858,MF370533,Yellow fever virus,-,Complete,MIG2484-H843301,2017-01-11,Brazil,Yes
11089.883,MF434851,Yellow fever virus,-,Complete,H199,2017-04-25,Brazil,Yes
11089.888,MF465805,Yellow fever virus,-,Complete,YFV112,2017-01-17,Brazil,Yes
11089.889,MF538782,Yellow fever virus,-,Complete,H190,2017-03-16,Brazil,No
11089.890,MF538783,Yellow fever virus,-,Complete,H191,2017-03-18,Brazil,No
11089.891,MF538784,Yellow fever virus,-,Complete,H196,2017-02-26,Brazil,No
11089.483,MG589641,Yellow fever virus,-,Complete,-,2016-03-18,China,No
11089.967,MG922934,Yellow fever virus,-,Complete,BNI-YFV-17,2017,-,Yes
11089.973,MG969501,Yellow fever virus,-,Complete,FIOCRUZ 71530/MG/01,2001-03-07,-,Yes
11089.723,MH444798,Yellow fever virus,-,Complete,FVV,-,Senegal,No
11089.1219,MH560359,Yellow fever virus,-,Complete,human/MG/2017,2017-01,Brazil,No
11089.908,MH633684,Yellow fever virus,-,Complete,not applicable,2016-03-14,-,No
11089.909,MH633685,Yellow fever virus,-,Complete,not applicable,2016-03-25,-,No
11089.910,MH633686,Yellow fever virus,-,Complete,not applicable,2016-03-19,-,No
11089.911,MH633687,Yellow fever virus,-,Complete,not applicable,2016,-,No
11089.912,MH633688,Yellow fever virus,-,Complete,not applicable,2016-04-11,-,No
11089.915,MH633691,Yellow fever virus,-,Complete,not applicable,2016,-,No
11089.969,MK292067,Yellow fever virus,-,Complete,YFV_t146a344,2018-11-19,-,Yes
11089.974,MK333798,Yellow fever virus,-,Complete,ABR1005,2018-01-08,-,Yes
11089.975,MK333799,Yellow fever virus,-,Complete,ABR1009,2018-01-08,-,No
11089.715,MK457701,Yellow fever virus,-,Complete,3623-1,2018-10-22,Nigeria,Yes
11089.755,MK583147,Yellow fever virus,-,Complete,YFV003FIG,2018-01-12,Brazil,Yes
11089.756,MK583148,Yellow fever virus,-,Complete,YFV004FIG,2018-01-13,Brazil,Yes
11089.757,MK583149,Yellow fever virus,-,Complete,YFV005FIG,2018-01-16,Brazil,Yes
11089.758,MK583150,Yellow fever virus,-,Complete,YFV007FIG,2018-01-15,Brazil,Yes
11089.759,MK583151,Yellow fever virus,-,Complete,YFV008FIG,2018-01-15,Brazil,Yes
11089.760,MK583152,Yellow fever virus,-,Complete,YFV010FIG,2017-01-16,Brazil,Yes
11089.761,MK583153,Yellow fever virus,-,Complete,YFV015FIG,2018-01-20,Brazil,Yes
11089.762,MK583154,Yellow fever virus,-,Complete,YFV016FIG,2018-01-21,Brazil,Yes
11089.763,MK583155,Yellow fever virus,-,Complete,YFV018FIG,2018-01-22,Brazil,Yes
11089.764,MK583156,Yellow fever virus,-,Complete,YFV020FIG,2018-01-23,Brazil,Yes
11089.765,MK583157,Yellow fever virus,-,Complete,YFV021FIG,2018-01-23,Brazil,Yes
11089.766,MK583158,Yellow fever virus,-,Complete,YFV022FIG,2018-01-23,Brazil,Yes
11089.767,MK583159,Yellow fever virus,-,Complete,YFV023FIG,2018-01-24,Brazil,Yes
11089.768,MK583160,Yellow fever virus,-,Complete,YFV029FIG,2018-01-29,Brazil,Yes
11089.769,MK583161,Yellow fever virus,-,Complete,YFV033FIG,2018-01-24,Brazil,Yes
